threshold,precision,recall,f1
2.262347516079899e-05,0.030543677458766034,1.0,0.059276822704779984
2.2697555323247798e-05,0.03054678749618165,1.0,0.05928267951959142
2.271169432788156e-05,0.03054989816700611,1.0,0.05928853749187614
2.2716525563737378e-05,0.030553009471432937,1.0,0.059294396621977295
2.2747806724510156e-05,0.030556121409655735,1.0,0.05930025691023819
2.2781934603699483e-05,0.03055923398186819,1.0,0.05930611835700226
2.2840495148557238e-05,0.030562347188264057,1.0,0.05931198096261304
2.295515878358856e-05,0.030565461029037188,1.0,0.05931784472741427
2.3000016881269403e-05,0.030568575504381496,1.0,0.05932370965174976
2.308983494003769e-05,0.03057169061449098,1.0,0.05932957573596349
2.3108052118914202e-05,0.030574806359559722,1.0,0.05933544298039958
2.3160691853263415e-05,0.03057792273978188,1.0,0.05934131138540228
2.3201191652333364e-05,0.03058103975535168,1.0,0.059347180951315935
2.320729981875047e-05,0.03058415740646345,1.0,0.0593530516784851
2.3213606255012564e-05,0.030587275693311582,1.0,0.05935892356725441
2.3219783543027006e-05,0.030590394616090547,1.0,0.05936479661796867
2.3261252863449045e-05,0.030593514174994903,1.0,0.059370670830972805
2.3317354134633206e-05,0.030596634370219276,1.0,0.05937654620661187
2.3344053261098452e-05,0.030599755201958383,1.0,0.05938242274523107
2.3363430955214426e-05,0.03060287667040702,1.0,0.05938830044717574
2.350948670937214e-05,0.03060599877576005,1.0,0.05939417931279135
2.3516977307735942e-05,0.030609121518212427,1.0,0.05940005934242352
2.3528305973741226e-05,0.030612244897959183,1.0,0.059405940536418
2.3579003027407452e-05,0.030615368915195427,1.0,0.05941182289512066
2.3647346097277477e-05,0.03061849357011635,1.0,0.059417706418877524
2.3664693799219094e-05,0.03062161886291722,1.0,0.05942359110803477
2.3701397367403843e-05,0.030624744793793384,1.0,0.059429476962938675
2.3724145648884587e-05,0.030627871362940276,1.0,0.059435363983935674
2.3782249627402052e-05,0.0306309985705534,1.0,0.05944125217137234
2.380655314482283e-05,0.030634126416828347,1.0,0.05944714152559537
2.3806824174243957e-05,0.030637254901960783,1.0,0.05945303204695163
2.380736987106502e-05,0.03064038402614646,1.0,0.05945892373578809
2.3831378712202422e-05,0.030643513789581207,1.0,0.05946481659245187
2.3887854695203714e-05,0.030646644192460926,1.0,0.059470710617290236
2.3898108338471502e-05,0.03064977523498161,1.0,0.05947660581065056
2.389979454164859e-05,0.030652906917339327,1.0,0.059482502172880404
2.3924010747577995e-05,0.030656039239730228,1.0,0.05948839970432744
2.3969159883563407e-05,0.030659172202350538,1.0,0.05949429840533944
2.4001457859412767e-05,0.030662305805396566,1.0,0.059500198276264384
2.401931669737678e-05,0.030665440049064702,1.0,0.05950609931745034
2.4075938199530356e-05,0.03066857493355142,1.0,0.059512001529245545
2.410042543488089e-05,0.030671710459053265,1.0,0.05951790491199834
2.4196897356887348e-05,0.03067484662576687,1.0,0.059523809466057245
2.42640235228464e-05,0.030677983433888945,1.0,0.0595297151917709
2.431171560601797e-05,0.03068112088361628,1.0,0.05953562208948806
2.4323657271452248e-05,0.03068425897514575,1.0,0.059541530159557654
2.4373626729357056e-05,0.030687397708674305,1.0,0.05954743940232872
2.4401675545959733e-05,0.030690537084398978,1.0,0.05955334981815046
2.4435790692223236e-05,0.030693677102516883,1.0,0.05955926140737223
2.4493161618011072e-05,0.030696817763225213,1.0,0.059565174170343446
2.449514613545034e-05,0.030699959066721245,1.0,0.05957108810741375
2.4535942429793067e-05,0.030703101013202335,1.0,0.05957700321893288
